Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
89,Male,3 - Senior Manager,Y,0,No,No,0.50,No,N,Internal Services,Stay,3 - Senior Manager,Internal Services,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,38,Germany,Europe,Europe,4/1/2020,0,0.306794619
90,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.927092078
91,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,31,Germany,Europe,Europe,4/1/2015,5,0.136986003
92,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.498589558
93,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,2 - Director,Sales & Marketing,100%,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.318991314
94,Male,4 - Manager,N,2,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,44,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.052300418
95,Male,3 - Senior Manager,N,4,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,4/1/2012,8,0.955767944
96,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,25,France,Europe,Europe,4/1/2019,1,0.915369778
97,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,Stay,4 - Manager,HR,100%,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,40,Germany,Europe,Europe,4/1/2017,3,0.049365501
98,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.037159367
99,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,28,France,Europe,Europe,4/1/2017,3,0.084576065
100,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,3 - Senior Manager,Internal Services,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,4/1/2014,6,0.807618496
101,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Germany,Europe,Europe,4/1/2018,2,0.770283076
102,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,0,40 to 49,40,Israel,Middle East,Elsewhere,4/1/2018,2,0.14331307
103,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,4/1/2015,5,0.813717326
104,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.003215565
105,Male,4 - Manager,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,0,NA,N,0,30 to 39,30,France,Europe,Europe,4/1/2020,0,0.199948169
106,Male,2 - Director,N,1,No,Yes,0.50,No,Y,Sales & Marketing,Stay,2 - Director,Sales & Marketing,100%,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,France,Europe,Europe,4/1/2017,3,0.757865396
107,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.222740077
108,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,6,3 - Senior Manager,N,3,30 to 39,34,France,Europe,Europe,4/1/2014,6,0.852167813
109,Male,6 - Junior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.012490252
110,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,5 - Senior Officer,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.824563625
111,Female,5 - Senior Officer,Y,0,No,No,0.50,No,N,Finance,Stay,5 - Senior Officer,Finance,100%,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,0,NA,N,0,30 to 39,33,Germany,Europe,Europe,4/1/2020,0,0.124982322
112,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.252105967
113,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Strategy,Stay,2 - Director,Strategy,100%,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,4,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.761701961
114,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.914154667
115,Male,2 - Director,N,3,No,No,0.50,Yes,Y,Finance,FY20,LEFT,Finance,100%,Full Time,Inconclusive,2 - Director & Finance,Even,2 - Director,3,2 - Director,N,4,40 to 49,49,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.987533644
116,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,0,20 to 29,26,France,Europe,Europe,4/1/2018,2,0.473895045
117,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,France,Europe,Europe,4/1/2013,7,0.124956706
118,Female,3 - Senior Manager,N,0,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.700300763
119,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,80%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,France,Europe,Europe,4/1/2019,1,0.101087232
120,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.126311073
121,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,40 to 49,46,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.430185775
122,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.321668787
123,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,30,Lebanon,Middle East,Elsewhere,4/1/2018,2,0.083564078
124,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.738313861
125,Male,3 - Senior Manager,Y,0,No,No,0.50,No,N,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,38,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.52508915
126,Female,6 - Junior Officer,Y,0,No,No,0.50,No,N,Internal Services,Stay,6 - Junior Officer,Internal Services,80%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Germany,Europe,Europe,4/1/2020,0,0.170554684
127,Male,1 - Executive,N,0,No,No,0.50,No,Y,Finance,Stay,1 - Executive,Finance,100%,Full Time,NA,NA,NA,NA,2,1 - Executive,N,3,50 to 59,55,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.206167074
128,Male,1 - Executive,N,0,No,No,0.50,No,Y,Strategy,Stay,1 - Executive,Strategy,100%,Full Time,NA,NA,NA,NA,3,1 - Executive,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.003688113
129,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.897803627
130,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Germany,Europe,Europe,4/1/2018,2,0.282952591
131,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.108499824
132,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,25,Germany,Europe,Europe,4/1/2018,2,0.048939234
133,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,38,Russia,Europe,Europe,4/1/2017,3,0.206515979
134,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,4/1/2012,8,0.387934711
135,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,70%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,16 to 19,19,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.74106024
136,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.225530737
137,Male,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,2 - Director,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,France,Europe,Europe,4/1/2018,2,0.74066812
138,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,HR,Stay,5 - Senior Officer,HR,100%,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,6,6 - Junior Officer,N,2,30 to 39,30,Sweden,Europe,Europe,4/1/2014,6,0.401891689
139,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,4/1/2018,2,0.629979962
140,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,5,3 - Senior Manager,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.22858638
141,Male,3 - Senior Manager,N,4,No,Yes,0.50,No,Y,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.573411582
142,Male,3 - Senior Manager,Y,0,No,No,0.50,No,N,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.645411452
143,Female,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,50%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.508809328
144,Male,1 - Executive,Y,0,No,No,0.50,No,N,Strategy,Stay,1 - Executive,Strategy,100%,Full Time,NA,NA,NA,NA,0,NA,N,0,40 to 49,49,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.714868696
145,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,4,4 - Manager,N,3,30 to 39,36,Spain,Europe,Europe,4/1/2016,4,0.523554809
146,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.51571374
147,Female,4 - Manager,Y,0,No,No,0.50,No,N,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,NA,N,0,40 to 49,42,Germany,Europe,Europe,4/1/2020,0,0.748058249
148,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.123208479
149,Male,4 - Manager,N,4,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Germany,Europe,Europe,4/1/2015,5,0.179234115
150,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.908289035
151,Female,5 - Senior Officer,N,0,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,4/1/2016,4,0.011579204
152,Male,2 - Director,N,2,No,Yes,0.50,No,Y,HR,Stay,2 - Director,HR,100%,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,40 to 49,42,France,Europe,Europe,4/1/2012,8,0.863957038
153,Female,3 - Senior Manager,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.815190043
154,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.407778366
155,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.82056765
156,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Internal Services,FY20,LEFT,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,30 to 39,39,Italy,Europe,Europe,4/1/2015,5,0.612764409
157,Female,5 - Senior Officer,Y,0,No,No,0.50,No,N,Operations,Stay,5 - Senior Officer,Operations,90%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0,NA,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.338884498
158,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.986168103
159,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,4/1/2017,3,0.283689768
160,Male,3 - Senior Manager,N,1,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.649931855
161,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.505087738
162,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.248046161
163,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Finance,Stay,4 - Manager,Finance,100%,Full Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.876115896
164,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,7,5 - Senior Officer,N,3,50 to 59,56,Netherlands,Europe,Europe,4/1/2011,9,0.250795143
165,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,France,Europe,Europe,4/1/2019,1,0.304379168
166,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.755145087
167,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,3 - Senior Manager,Internal Services,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,4/1/2017,3,0.240987717
168,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,25,France,Europe,Europe,4/1/2011,9,0.349591136
169,Female,5 - Senior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,France,Europe,Europe,4/1/2018,2,0.98981366
170,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.259647877
171,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,80%,Part Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,40 to 49,41,Italy,Europe,Europe,4/1/2011,9,0.109831281
172,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,HR,Stay,3 - Senior Manager,HR,100%,Full Time,Inconclusive,3 - Senior Manager & HR,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.298225607
173,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,40%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,30,Italy,Europe,Europe,4/1/2013,7,0.647186331
174,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,France,Europe,Europe,4/1/2011,9,0.443869763
175,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Finance,Stay,4 - Manager,Finance,100%,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.095066482
176,Female,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,Stay,2 - Director,Internal Services,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,46,France,Europe,Europe,4/1/2016,4,0.826972484
177,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,30,Spain,Europe,Europe,4/1/2015,5,0.374899905
178,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,5 - Senior Officer,Internal Services,90%,Part Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,4,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.150651806
